DEPLAC      ;EFFORT      ;
 0.0000E+000; 0.0000E+000;
 2.0000E-005; 6.3783E+004;
 4.0000E-005; 1.2757E+005;
 6.0000E-005; 1.9135E+005;
 8.0000E-005; 2.5513E+005;
 1.0000E-004; 3.1892E+005;
 1.2000E-004; 3.5343E+005;
 1.4000E-004; 3.4988E+005;
 1.6000E-004; 3.4392E+005;
 1.8000E-004; 3.3645E+005;
 2.0000E-004; 3.2813E+005;
 2.2000E-004; 3.1947E+005;
 2.4000E-004; 3.1080E+005;
 2.6000E-004; 3.0238E+005;
 2.8000E-004; 2.9436E+005;
 3.0000E-004; 2.8685E+005;
 3.2000E-004; 2.7990E+005;
 3.4000E-004; 2.7353E+005;
 3.6000E-004; 2.6775E+005;
 3.8000E-004; 2.6254E+005;
 4.0000E-004; 2.5787E+005;
